"Country","Year","Dentists (per 10 000 population)","Dentists (number)","Dental Assistants and Therapists (number)","Dental Prosthetic Technicians (number)"
"Syrian Arab Republic","2000","6.8","11160","",""
"Syrian Arab Republic","1999","6.677","10694","",""
"Syrian Arab Republic","1998","6.713","10473","",""
"Syrian Arab Republic","1997","6.433","9764","",""
"Tajikistan","2014","1.541","1289","",""
"Tajikistan","2013","1.59","1300","",""
"Tajikistan","2012","1.52","1215","",""
"Tajikistan","2011","1.563","1222","",""
"Tajikistan","2010","1.615","1234","",""
"Thailand","2017","1.677","11575","",""
"Thailand","2016","1.62","11158","16654",""
"Thailand","2010","1.763","11847","5375",""
"Thailand","2009","1.484","9926","4250",""
"Thailand","2008","1.45","9646","3501",""
"Thailand","2007","1.411","9337","3279",""
"Thailand","2006","1.338","8809","3693",""
"Thailand","2004","0.635","4129","",""
"Thailand","2002","0.698","4471","",""
"Thailand","2001","0.679","4317","",""
"Thailand","1999","0.646","4026","",""
"Thailand","1998","0.636","3917","",""
"Thailand","1997","0.561","3414","",""
"Thailand","1995","0.491","2920","",""
"Thailand","1993","0.477","2786","",""
"Thailand","1991","0.421","2408","",""
"Thailand","1989","","2107","",""
"Thailand","1987","","1468","",""
"Thailand","1985","","1451","",""
"Thailand","1983","","1247","",""
"Thailand","1981","","1057","",""
"Thailand","1979","","978","",""
"Thailand","1977","","815","",""
"Thailand","1975","","652","",""
"Thailand","1973","","596","",""
"Thailand","1971","","531","",""
"Republic of North Macedonia","2015","8.772","1824","",""
"Republic of North Macedonia","2013","8.214","1705","",""
"Republic of North Macedonia","2012","7.965","1652","",""
"Republic of North Macedonia","2011","7.827","1622","",""
"Republic of North Macedonia","2010","7.722","1599","",""
"Republic of North Macedonia","2009","6.887","1425","",""
"Timor-Leste","2017","0.656","85","",""
"Timor-Leste","2015","0.145","18","",""
"Timor-Leste","2014","0.148","18","",""
"Timor-Leste","2011","0.062","7","38","1"
"Timor-Leste","2010","0.063","7","37",""
"Timor-Leste","2009","0.055","6","34",""
"Timor-Leste","2008","0.019","2","29",""
"Timor-Leste","2007","","","28",""
"Timor-Leste","2004","0.02","2","","43"
"Timor-Leste","2001","0.011","1","9",""
"Togo","2015","0.024","18","",""
"Togo","2010","0.101","66","33",""
"Togo","2008","0.024","15","","4"
"Togo","2007","0.025","15","","4"
"Togo","2004","0.033","18","","1"
"Tonga","2013","1.14","12","","27"
"Tonga","2010","0.961","10","",""
"Tonga","2009","1.062","11","","26"
"Tonga","2003","2.305","23","",""
"Tonga","2001","3.347","33","",""
"Trinidad and Tobago","2015","3.595","489","",""
"Trinidad and Tobago","2011","2.57","343","",""
"Trinidad and Tobago","2010","2.583","343","",""
"Trinidad and Tobago","2009","2.361","312","",""
"Trinidad and Tobago","2007","2.245","294","",""
"Trinidad and Tobago","2006","2.179","284","",""
"Trinidad and Tobago","2003","1.939","249","",""
"Trinidad and Tobago","2002","1.722","220","",""
"Trinidad and Tobago","2001","1.713","218","",""
"Trinidad and Tobago","2000","1.562","198","",""
"Trinidad and Tobago","1999","1.494","189","",""
"Trinidad and Tobago","1998","1.497","189","",""
"Trinidad and Tobago","1997","1.269","160","",""
"Trinidad and Tobago","1996","1.12","141","",""
"Trinidad and Tobago","1995","1.068","134","",""
"Tunisia","2015","3.099","3494","",""
"Tunisia","2010","2.942","3130","",""
"Tunisia","2006","1.822","1858","",""
"Tunisia","2005","1.831","1850","",""
"Tunisia","2004","2.096","2100","","352"
"Tunisia","2002","1.413","1394","",""
"Tunisia","2001","1.41","1380","",""
"Tunisia","2000","1.356","1315","",""
"Tunisia","1999","1.355","1301","",""
"Tunisia","1998","1.343","1276","",""
"Tunisia","1997","1.279","1200","",""
"Tunisia","1996","1.197","1108","",""
"Tunisia","1995","1.139","1038","",""
"Tunisia","1994","1.125","1008","",""
"Tunisia","1993","1.143","1004","",""
"Tunisia","1992","1.126","969","",""
"Tunisia","1991","0.963","811","",""
"Tunisia","1990","0.983","809","",""
"Turkey","2015","3.173","24834","",""
"Turkey","2014","2.985","22996","",""
"Turkey","2013","2.942","22295","",""
"Turkey","2012","2.87","21404","",""
"Turkey","2011","2.874","21099","",""
"Turkey","2010","2.963","21432","",""
"Turkey","2009","2.886","20589","",""
"Turkey","2008","2.833","19959","",""
"Turkey","2007","2.77","19278","",""
"Turkey","2006","2.666","18332","",""
"Turkey","2005","2.673","18149","",""
"Turkey","2004","2.67","17893","",""
"Turkey","2003","2.685","17744","",""
"Turkey","2002","2.513","16371","",""
"Turkey","2001","2.504","16075","",""
"Turkey","2000","2.515","15906","",""
"Turkey","1999","2.284","14226","",""
"Turkey","1998","2.188","13421","",""
"Turkey","1997","2.11","12737","",""
"Turkey","1996","2.088","12406","",""
"Turkey","1995","2.003","11717","",""
"Turkey","1994","1.99","11457","",""
"Turkey","1993","1.954","11069","",""
"Turkey","1992","1.92","10703","",""
"Turkey","1991","1.937","10623","",""
"Turkey","1990","1.95","10514","",""
"Turkey","1989","","10132","",""
"Turkey","1988","","9639","",""
"Turkey","1987","","8589","",""
"Turkey","1986","","8410","",""
"Turkey","1985","","8305","",""
"Turkey","1984","","8133","",""
"Turkey","1983","","7763","",""
"Turkey","1982","","7625","",""
"Turkey","1981","","6790","",""
"Turkey","1980","","7077","",""
"Turkey","1979","","7021","",""
"Turkey","1978","","6826","",""
"Turkey","1977","","5954","",""
"Turkey","1976","","5379","",""
"Turkey","1975","","5046","",""
"Turkey","1974","","4269","",""
"Turkey","1973","","4279","",""
"Turkey","1972","","3789","",""
"Turkey","1971","","3517","",""
"Turkey","1970","","3245","",""
"Turkmenistan","2014","1.154","631","",""
"Turkmenistan","2013","1.137","610","",""
"Turkmenistan","2012","1.166","614","",""
"Turkmenistan","2011","1.167","604","",""
"Turkmenistan","2010","1.152","586","",""
"Turkmenistan","2002","1.9","876","",""
"Tuvalu","2014","4.587","5","",""
"Tuvalu","2008","1.942","2","","2"
"Tuvalu","2003","2.041","2","",""
"Tuvalu","2002","2.083","2","",""
"Uganda","2015","0.069","276","",""
"Uganda","2005","0.034","98","","342"
"Uganda","2004","0.042","117","228","18"
"Ukraine","2014","6.005","26954","",""
"Ukraine","2013","6.857","30934","",""
"Ukraine","2012","6.767","30688","",""
"Ukraine","2011","6.638","30255","",""
"Ukraine","2010","6.583","30147","",""
"United Arab Emirates","2016","5.572","5165","",""
"United Arab Emirates","2015","5.37","4916","",""
"United Arab Emirates","2014","4.42","4009","",""
"United Arab Emirates","2013","3.532","3181","",""
"United Arab Emirates","2012","3.531","3143","",""
"United Arab Emirates","2011","3.459","3000","",""
"United Arab Emirates","2010","3.725","3081","",""
"United Arab Emirates","2009","3.749","2874","",""
"United Arab Emirates","2008","3.081","2124","",""
"United Arab Emirates","2007","3.175","1919","",""
"United Arab Emirates","2006","2.591","1358","",""
"United Arab Emirates","2005","3.088","1414","",""
"United Arab Emirates","2004","3.63","1484","",""
"United Arab Emirates","2003","3.405","1274","",""
"United Arab Emirates","2002","3.279","1150","",""
"United Arab Emirates","2001","3.142","1045","",""
"United Arab Emirates","2000","2.542","802","",""
"United Kingdom of Great Britain and Northern Ireland","2017","5.252","34760","",""
"United Kingdom of Great Britain and Northern Ireland","2016","5.3","34867","",""
"United Kingdom of Great Britain and Northern Ireland","2015","5.294","34621","",""
"United Kingdom of Great Britain and Northern Ireland","2014","5.283","34348","",""
"United Kingdom of Great Britain and Northern Ireland","2013","5.21","33676","",""
"United Kingdom of Great Britain and Northern Ireland","2012","5.178","33268","",""
"United Kingdom of Great Britain and Northern Ireland","2011","5.237","33419","",""
"United Kingdom of Great Britain and Northern Ireland","2010","5.122","32423","",""
"United Kingdom of Great Britain and Northern Ireland","1997","4.485","26166","31522","32563"
"United Republic of Tanzania","2014","0.02","104","933",""
"United Republic of Tanzania","2012","0.02","99","366","44"
"United Republic of Tanzania","2006","0.011","43","175","12"
"United Republic of Tanzania","2002","0.041","147","99","21"
"United States of America","2015","6.1","195156","",""
"United States of America","2010","5.785","178559","495175",""
"United States of America","2005","6.079","179414","454582",""
"United States of America","2000","4.761","134245","329418",""
"Uruguay","2017","14.797","5115","",""
"Uruguay","2016","12.123","4175","1561",""
"Uruguay","2008","7.389","2476","",""
"Uruguay","2002","11.828","3936","",""
"Uzbekistan","2014","1.482","4520","",""
"Uzbekistan","2013","1.582","4749","",""
"Uzbekistan","2012","1.597","4719","",""
"Uzbekistan","2011","1.672","4861","",""
"Uzbekistan","2010","1.641","4693","",""
"Vanuatu","2012","0.687","17","",""
"Vanuatu","2008","0.133","3","",""
"Venezuela (Bolivarian Republic of)","2001","5.483","13680","",""
"Yemen","2014","0.207","543","",""
"Yemen","2010","0.243","573","324",""
"Yemen","2004","0.239","478","372",""
"Yemen","1997","0.156","256","",""
"Zambia","2016","0.188","312","",""
"Zambia","2012","0.052","77","282","42"
"Zambia","2011","0.051","73","262","38"
"Zambia","2010","0.178","246","",""
"Zambia","2009","0.179","241","",""
"Zambia","2004","0.229","269","193","29"
"Zimbabwe","2014","0.162","250","",""
"Zimbabwe","2013","0.157","236","",""
"Zimbabwe","2012","0.158","233","",""
"Zimbabwe","2011","0.177","255","",""
"Zimbabwe","2010","0.17","239","",""
"Zimbabwe","2009","0.132","182","",""
"Zimbabwe","2008","0.133","181","",""
"Zimbabwe","2007","0.144","192","",""
"Zimbabwe","1995","0.134","152","","33"
"Zimbabwe","1990","0.129","131","","22"
"Zimbabwe","1985","","94","","14"
